codigo_municipio,municipio,vaf_2023,vaf_2024,media_vaf,indice_vaf,indice_educacao,indice_saude,indice_meio_ambiente,indice_2026
101,ABAIARA,16572071.5,103750100.65,60161086.07,0.031824,0.0753664,0.0662723,0.0115101,0.1849728
150,ACARAPE,103568930.1,106838735.74,105203832.92,0.055653,0.0672519,0.0768136,0.0115101,0.2112286
200,ACARAU,570760818.3,695045198.84,632903008.57,0.3348215,0.1277994,0.07291,0.0115101,0.547041
309,ACOPIARA,157302207.97,192275112.36,174788660.16,0.092469,0.0374403,0.0632557,0.0115101,0.2046751
408,AIUABA,16431280.47,22046141.71,19238711.09,0.010179,0.0562146,0.1083961,0.0115102,0.1862999
507,ALCANTARAS,13892494.24,16690683.3,15291588.77,0.0080925,0.1156134,0.073303,0.0115102,0.2085191
606,ALTANEIRA,9962635.9,10512819.13,10237727.51,0.0054145,0.1298328,0.0892118,0.0115101,0.2359692
705,ALTO SANTO,51502915.87,64867449.58,58185182.72,0.030784,0.1155337,0.0975284,0.0115101,0.2553562
754,AMONTADA,333049179.97,385026025.43,359037602.7,0.1899365,0.0676796,0.0676453,0.0115101,0.3367715
804,ANTONINA DO NORTE,17686991.14,24059895.75,20873443.44,0.0110435,0.1134178,0.0994048,0.0115101,0.2353762
903,APUIARES,29656593.64,30199434.9,29928014.27,0.015834,0.0570218,0.0655973,0.0115102,0.1499633
1000,AQUIRAZ,3528113248.76,3792268762.22,3660191005.49,1.936324,0.0761269,0.0628036,0.0040286,2.0792831
1109,ARACATI,1270651453.73,1510709573.84,1390680513.78,0.7357025,0.0953906,0.0934554,0.0115101,0.9360586
1208,ARACOIABA,62155049.48,90508288.28,76331668.88,0.040378,0.068845,0.0668078,0.0115101,0.1875409
1257,ARARENDA,21228462.54,25487238.66,23357850.6,0.0123565,0.1466406,0.0703425,0.0115101,0.2408497
1307,ARARIPE,31010581.73,33329846.13,32170213.93,0.017017,0.0662825,0.0734716,0.0115101,0.1682812
1406,ARATUBA,19727556.73,25860178.51,22793867.62,0.0120575,0.0827944,0.080883,0.0086327,0.1843676
1505,ARNEIROZ,10771528.93,13123708.36,11947618.64,0.006318,0.0659887,0.0915482,0.0115101,0.175365
1604,ASSARE,49112652.62,52058156.56,50585404.59,0.0267605,0.1142687,0.076395,0.0115101,0.2289343
1703,AURORA,74980132.93,51060666.31,63020399.62,0.0333385,0.0602646,0.087885,0.0115101,0.1929982
1802,BAIXIO,5941691.89,6206965.94,6074328.91,0.003211,0.1122957,0.0837879,0.0115101,0.2108047
1851,BANABUIU,132803507.37,95949756.44,114376631.9,0.0605085,0.0710022,0.1232663,0.0115101,0.2662871
1901,BARBALHA,907064653.61,994947962.48,951006308.04,0.5031065,0.0774238,0.0731716,0.0109347,0.6646366
1950,BARREIRA,79345299.19,69285957.37,74315628.28,0.039312,0.0894632,0.0755597,0.0115101,0.215845
2008,BARRO,46127109.91,52607739.06,49367424.48,0.026117,0.0449003,0.0738736,0.0115101,0.156401
2057,BARROQUINHA,29810991.73,32456056.2,31133523.96,0.016471,0.1048509,0.0836738,0.0051797,0.2101754
2107,BATURITE,119808862.18,134153606.39,126981234.28,0.0671775,0.073019,0.0859551,0.0115101,0.2376617
2206,BEBERIBE,631296434.04,733520381.68,682408407.86,0.36101,0.0618966,0.0596495,0.0115101,0.4940662
2305,BELA CRUZ,60438763.29,65141402.7,62790082.99,0.033215,0.1136567,0.0607809,0.0115101,0.2191627
2404,BOA VIAGEM,139782573.78,189774177.52,164778375.65,0.0871715,0.0897795,0.1167654,0.0115101,0.3052265
2503,BREJO SANTO,618039105.56,660902562.0,639470833.78,0.3382925,0.108811,0.0795333,0.0115101,0.5381469
2602,CAMOCIM,436954402.54,497404621.81,467179512.17,0.2471495,0.0963012,0.0668365,0.0115101,0.4217973
2701,CAMPOS SALES,77953161.86,93854854.99,85904008.42,0.045448,0.0757965,0.0811343,0.0115101,0.2138889
2800,CANINDE,319414518.33,383186484.72,351300501.52,0.185848,0.0929556,0.1193777,0.0115101,0.4096914
2909,CAPISTRANO,30920018.31,34356711.29,32638364.8,0.017264,0.0837003,0.0713768,0.0115101,0.1838512
3006,CARIDADE,75118876.77,93471574.96,84295225.86,0.0445965,0.1309089,0.1240812,0.0115102,0.3110968
3105,CARIRE,35187008.23,38139290.72,36663149.47,0.019396,0.1553276,0.0661877,0.0115101,0.2524214
3204,CARIRIACU,33761708.67,37881950.94,35821829.8,0.0189475,0.0793849,0.0935727,0.0115101,0.2034152
3303,CARIUS,28389884.7,33156337.97,30773111.33,0.0162825,0.101353,0.0832422,0.0115101,0.2123878
3402,CARNAUBAL,32561644.98,37744227.89,35152936.43,0.0185965,0.0940283,0.0960628,0.0115101,0.2201977
3501,CASCAVEL,637010537.01,788725971.87,712868254.44,0.3771235,0.0716499,0.0672341,0.0115101,0.5275176
3600,CATARINA,25237945.95,32345506.03,28791725.99,0.0152295,0.0656393,0.0920105,0.0115102,0.1843895
3659,CATUNDA,14440049.72,13807936.22,14123992.97,0.007475,0.1146587,0.0777947,0.0115101,0.2114385
3709,CAUCAIA,6930991497.17,5910787586.35,6420889541.76,3.3968025,0.0487159,0.0645615,0.0092082,3.5192881
3808,CEDRO,54917688.16,66128110.59,60522899.37,0.032019,0.107406,0.0860704,0.0115101,0.2370055
3907,CHAVAL,21454607.75,24507524.56,22981066.15,0.012155,0.0679706,0.0761528,0.0115102,0.1677886
3931,CHORO,17431637.0,16811696.1,17121666.55,0.009061,0.1113676,0.1379769,0.0115101,0.2699156
3956,CHOROZINHO,78330087.27,82153901.54,80241994.4,0.0424515,0.1135218,0.0651376,0.0115101,0.232621
4004,COREAU,42821906.91,53649644.52,48235775.71,0.025519,0.156785,0.0603851,0.0115101,0.2541992
4103,CRATEUS,284256512.38,317572735.81,300914624.09,0.1591915,0.1157251,0.0654145,0.0115101,0.3518412
4202,CRATO,1186659753.02,1405373463.6,1296016608.31,0.68562,0.102075,0.0760214,0.0115101,0.8752265
4236,CROATA,28690042.23,34544654.58,31617348.4,0.0167245,0.1277084,0.0618327,0.0115101,0.2177757
4251,CRUZ,186902136.55,205163740.28,196032938.41,0.1037075,0.1394414,0.0557859,0.0103592,0.309294
4269,DEPUTADO IRAPUAN PINHEIRO,22440920.71,28802661.46,25621791.08,0.0135525,0.135576,0.0854938,0.0115101,0.2461324
4277,ERERE,11512739.13,11447786.4,11480262.76,0.006071,0.1100334,0.131947,0.0115101,0.2595615
4285,EUSEBIO,3473750358.87,4163293837.93,3818522098.4,2.0200895,0.0843441,0.0669609,0.0103592,2.1817537
4301,FARIAS BRITO,27667762.56,33949580.12,30808671.34,0.0162955,0.1157936,0.0706418,0.0115101,0.214241
4350,FORQUILHA,225058364.88,252447149.78,238752757.33,0.126308,0.1497038,0.0660526,0.0115101,0.3535745
4400,FORTALEZA,44087689647.18,45069479058.31,44578584352.74,23.583118,0.0546805,0.0647923,0.0107045,23.7132953
4459,FORTIM,161245015.99,188570428.35,174907722.17,0.0925275,0.1010455,0.1047648,0.0115101,0.3098479
4509,FRECHEIRINHA,261123751.16,301190286.68,281157018.92,0.1487395,0.086395,0.0590477,0.0115101,0.3056923
4608,GENERAL SAMPAIO,13937000.94,11766355.42,12851678.18,0.006799,0.1003539,0.0889759,0.0115101,0.2076389
4657,GRACA,17949348.41,21338714.22,19644031.31,0.0103935,0.1226226,0.0914608,0.0115101,0.235987
4707,GRANJA,88453617.5,122710248.1,105581932.8,0.0558545,0.1145387,0.0544374,0.0115102,0.2363408
4806,GRANJEIRO,5282655.88,6560384.25,5921520.06,0.003198,0.0852066,0.0667126,0.0115101,0.1666273
4905,GROAIRAS,22431743.92,28644542.51,25538143.21,0.0135135,0.1098925,0.078877,0.0115101,0.2137931
4954,GUAIUBA,85493404.7,115720133.31,100606769.0,0.053222,0.0667981,0.0733872,0.0115101,0.2049174
5001,GUARACIABA DO NORTE,142312297.19,169074558.05,155693427.62,0.082368,0.105154,0.0621273,0.0115101,0.2611594
5100,GUARAMIRANGA,22577555.78,26235216.22,24406386.0,0.012909,0.1077292,0.047107,0.0115101,0.1792553
5209,HIDROLANDIA,29303295.2,39791545.12,34547420.16,0.018278,0.1163739,0.0740831,0.0115101,0.2202451
5233,HORIZONTE,2708832649.04,2862910833.53,2785871741.28,1.4737905,0.1202766,0.0692359,0.0115101,1.6748131
5266,IBARETAMA,34034061.16,35380580.13,34707320.64,0.0183625,0.0701369,0.1143415,0.0115101,0.214351
5308,IBIAPINA,82898799.27,101556499.99,92227649.63,0.048789,0.1010946,0.0604717,0.0109347,0.22129
5332,IBICUITINGA,34778503.88,29518030.31,32148267.09,0.017004,0.1025565,0.1219954,0.0115101,0.253066
5357,ICAPUI,1172885663.46,1238094355.29,1205490009.37,0.6377345,0.069073,0.0809209,0.0040286,0.791757
5407,ICO,285081221.36,271948497.95,278514859.65,0.147342,0.0609392,0.0754275,0.0115101,0.2952188
5506,IGUATU,1001135173.03,1097463170.13,1049299171.58,0.5551065,0.0443061,0.0803843,0.0115101,0.691307
5605,INDEPENDENCIA,43877918.98,91285012.84,67581465.91,0.03575,0.1130732,0.0594607,0.0115101,0.219794
5654,IPAPORANGA,17339744.59,19672819.4,18506281.99,0.009789,0.1328646,0.0834568,0.0115101,0.2376205
5704,IPAUMIRIM,42412394.81,44942420.32,43677407.56,0.0231075,0.1126225,0.1083413,0.0115101,0.2555814
5803,IPU,128974511.98,141319005.75,135146758.86,0.0714935,0.0748831,0.0624878,0.0115101,0.2203745
5902,IPUEIRAS,57214388.98,62689303.02,59951846.0,0.0317135,0.1444231,0.073374,0.0115102,0.2610208
6009,IRACEMA,84044672.9,72389105.66,78216889.28,0.041379,0.090619,0.1049058,0.0115101,0.2484139
6108,IRAUCUBA,56010274.96,54874487.43,55442381.19,0.029328,0.1153085,0.0577466,0.0115101,0.2138932
6207,ITAICABA,20835488.11,23768307.87,22301897.99,0.0117975,0.0894868,0.1115979,0.0115101,0.2243923
6256,ITAITINGA,1614216626.56,2318294088.41,1966255357.48,1.040195,0.0728134,0.066697,0.0115101,1.1912155
