mes,municipio,repasse_sefaz,repasse_liquido_sefaz,fundeb_sefaz
Janeiro,Abaiara,889396.68,711518.91,177877.77
Janeiro,Acarapé,1015640.57,812513.75,203126.82
Janeiro,Acaraú,2630314.93,2104253.32,526061.61
Janeiro,Acopiara,984129.35,787304.91,196824.44
Janeiro,Aiuaba,895777.28,716623.49,179153.79
Janeiro,Alcântaras,1002613.44,802091.99,200521.45
Janeiro,Altaneira,1134599.59,907681.6,226917.99
Janeiro,Alto Santo,1227817.89,982255.79,245562.1
Janeiro,Amontada,1619284.36,1295428.53,323855.83
Janeiro,Antonina Do Norte,1131748.49,905400.16,226348.33
Janeiro,Apuiarés,721061.1,576850.48,144210.62
Janeiro,Aquiraz,9997732.88,7998186.88,1999546.0
Janeiro,Aracati,4500811.86,3600650.01,900161.85
Janeiro,Aracoiaba,901744.52,721397.14,180347.38
Janeiro,Ararendá,1158067.25,926455.4,231611.85
Janeiro,Araripe,809138.71,647312.57,161826.14
Janeiro,Aratuba,886486.27,709190.08,177296.19
Janeiro,Arneiroz,843200.01,674561.7,168638.31
Janeiro,Assaré,1100774.74,880620.34,220154.4
Janeiro,Aurora,927985.03,742389.72,185595.31
Janeiro,Baixio,1013602.48,810883.3,202719.18
Janeiro,Banabuiú,1280377.26,1024302.79,256074.47
Janeiro,Barbalha,3195744.97,2556596.97,639148.0
Janeiro,Barreira,1037838.22,830272.05,207566.17
Janeiro,Barro,752015.27,601613.36,150401.91
Janeiro,Barroquinha,1010577.13,808463.42,202113.71
Janeiro,Baturité,1142737.98,914191.4,228546.58
Janeiro,Beberibe,2375597.82,1900479.65,475118.17
Janeiro,Bela Cruz,1053790.06,843033.5,210756.56
Janeiro,Boa Viagem,1467607.67,1174087.11,293520.56
Janeiro,Brejo Santo,2587549.14,2070040.63,517508.51
Janeiro,Camocim,2028110.24,1622489.22,405621.02
Janeiro,Campos Sales,1028432.39,822747.05,205685.34
Janeiro,Canindé,1969902.48,1575922.95,393979.53
Janeiro,Capistrano,884003.14,707203.29,176799.85
Janeiro,Caridade,1495833.54,1196667.89,299165.65
Janeiro,Caririaçu,978071.92,782459.13,195612.79
Janeiro,Cariré,1213706.08,970966.41,242739.67
Janeiro,Cariús,1021214.16,816973.17,204240.99
Janeiro,Carnaubal,1058766.75,847014.77,211751.98
Janeiro,Cascavel,2536441.02,2029153.96,507287.06
Janeiro,Catarina,886591.52,709274.52,177317.0
Janeiro,Catunda,1016651.03,813322.23,203328.8
Janeiro,Caucaia,16921651.15,13537321.47,3384329.68
Janeiro,Cedro,1139582.83,911667.53,227915.3
Janeiro,Chaval,806770.14,645417.52,161352.62
Janeiro,Chorozinho,1118501.11,894802.44,223698.67
Janeiro,Choró,1297823.37,1038260.32,259563.05
Janeiro,Coreaú,1222254.88,977804.72,244450.16
