municipio,municipio_chave,mes,indice_2026,base_icms,repasse_calculado,fundeb_calculado,liquido_calculado,repasse_sefaz,fundeb_sefaz,repasse_liquido_sefaz,diferenca,erro_absoluto,erro_percentual
ABAIARA,ABAIARA,Janeiro,0.1849728,1923303904.52,889397.2711749926,177879.45423499853,711517.8169399941,889396.68,177877.77,711518.91,-0.591174992499873,0.591174992499873,6.646921512006016e-05
ABAIARA,ABAIARA,Fevereiro,0.1849728,1670684530.04,772577.9885954573,154515.59771909146,618062.3908763658,772576.64,154514.33,618062.31,-1.3485954572679475,1.3485954572679475,0.00017455814574822602
ABAIARA,ABAIARA,Março,0.1849728,1678479898.09,776182.8162335549,155236.56324671098,620946.2529868439,776181.2,155234.54,620946.66,-1.6162335549015552,1.6162335549015552,0.0002082288974406434
ABAIARA,ABAIARA,Abril,0.1849728,1853353143.2,857049.8007162624,171409.9601432525,685639.84057301,857048.72,171408.52,685640.2,-1.0807162624550983,1.0807162624550983,0.0001260974128116192
ABAIARA,ABAIARA,Maio,0.1849728,1854938665.46,857782.9969459987,171556.59938919975,686226.397556799,857781.43,171554.97,686226.46,-1.5669459986966103,1.5669459986966103,0.00018267427387610972
ABAIARA,ABAIARA,Junho,0.1849728,1934205596.72,894438.5625024231,178887.71250048463,715550.8500019385,893298.86,178658.17,714640.69,-1139.7025024230825,1139.7025024230825,0.127583561723462
ACARAPE,ACARAPE,Janeiro,0.2112286,1923303904.52,1015641.9778157331,203128.39556314662,812513.5822525865,1015640.57,203126.82,812513.75,-1.4078157331096008,1.4078157331096008,0.0001386135779422046
ACARAPE,ACARAPE,Fevereiro,0.2112286,1670684530.04,882240.8858050177,176448.17716100355,705792.7086440142,882239.44,176447.23,705792.21,-1.4458050177199766,1.4458050177199766,0.000163878982526555
ACARAPE,ACARAPE,Março,0.2112286,1678479898.09,886357.3975042333,177271.47950084668,709085.9180033867,886356.07,177269.88,709086.19,-1.3275042333407328,1.3275042333407328,0.00014977098688349173
ACARAPE,ACARAPE,Abril,0.2112286,1853353143.2,978702.9743593386,195740.59487186774,782962.379487471,978701.9,195738.57,782963.33,-1.0743593386141583,1.0743593386141583,0.0001097739095647161
ACARAPE,ACARAPE,Maio,0.2112286,1854938665.46,979540.2434774602,195908.04869549206,783632.1947819683,979539.17,195906.97,783632.2,-1.0734774601878598,1.0734774601878598,0.00010959004938902646
ACARAPE,ACARAPE,Junho,0.2112286,1934205596.72,1021398.8507683254,204279.7701536651,817119.0806146604,1030411.4,206080.09,824331.31,9012.549231674639,9012.549231674639,0.874655427111408
ACARAU,ACARAU,Janeiro,0.547041,1923303904.52,2630315.2280813134,526063.0456162627,2104252.182465051,2630314.93,526061.61,2104253.32,-0.2980813132598996,0.2980813132598996,1.1332533221027627e-05
ACARAU,ACARAU,Fevereiro,0.547041,1670684530.04,2284832.339994029,456966.46799880586,1827865.8719952235,2284831.99,456965.2,1827866.79,-0.3499940289184451,0.3499940289184451,1.5318151638731436e-05
ACARAU,ACARAU,Março,0.547041,1678479898.09,2295493.304827629,459098.66096552584,1836394.6438621033,2295492.86,459097.24,1836395.62,-0.44482762925326824,0.44482762925326824,1.9378305940505876e-05
ACARAU,ACARAU,Abril,0.547041,1853353143.2,2534650.3920231783,506930.07840463566,2027720.3136185426,2534649.3,506928.82,2027720.48,-1.0920231784693897,1.0920231784693897,4.308379776521311e-05
ACARAU,ACARAU,Maio,0.547041,1854938665.46,2536818.7562297597,507363.751245952,2029455.004983808,2536818.1,507362.43,2029455.67,-0.6562297595664859,0.6562297595664859,2.5868222856281494e-05
ACARAU,ACARAU,Junho,0.547041,1934205596.72,2645224.409588264,529044.8819176528,2116179.527670611,2721890.71,544376.93,2177513.78,76666.30041173613,76666.30041173613,2.8166560887279757
ACOPIARA,ACOPIARA,Janeiro,0.2046751,1923303904.52,984131.0474700535,196826.20949401072,787304.8379760429,984129.35,196824.44,787304.91,-1.697470053564757,1.697470053564757,0.00017248444562340887
ACOPIARA,ACOPIARA,Fevereiro,0.2046751,1670684530.04,854868.8081359749,170973.761627195,683895.04650878,854868.07,170972.91,683895.16,-0.7381359749706462,0.7381359749706462,8.634501636850775e-05
ACOPIARA,ACOPIARA,Março,0.2046751,1678479898.09,858857.6024739014,171771.52049478027,687086.0819791211,858856.91,171769.63,687087.28,-0.6924739013193175,0.6924739013193175,8.06273889464681e-05
ACOPIARA,ACOPIARA,Abril,0.2046751,1853353143.2,948338.0997994358,189667.61995988718,758670.4798395487,948337.31,189665.69,758671.62,-0.7897994357626885,0.7897994357626885,8.328254382005581e-05
ACOPIARA,ACOPIARA,Maio,0.2046751,1854938665.46,949149.3921172301,189829.87842344603,759319.5136937841,949147.97,189828.23,759319.74,-1.4221172301331535,1.4221172301331535,0.00014983092995849253
ACOPIARA,ACOPIARA,Junho,0.2046751,1934205596.72,989709.3098230641,197941.86196461285,791767.4478584514,1131040.12,226206.51,904833.61,141330.81017693598,141330.81017693598,12.495649595253612
AIUABA,AIUABA,Janeiro,0.1862999,1923303904.52,895778.3127042138,179155.66254084278,716622.6501633711,895777.28,179153.79,716623.49,-1.0327042137505487,1.0327042137505487,0.00011528582347506611
AIUABA,AIUABA,Fevereiro,0.1862999,1670684530.04,778120.9021949974,155624.1804389995,622496.721755998,778120.1,155623.06,622497.04,-0.8021949974354357,0.8021949974354357,0.00010309398220601622
AIUABA,AIUABA,Março,0.1862999,1678479898.09,781751.5929154429,156350.31858308858,625401.2743323543,781750.49,156347.96,625402.53,-1.1029154428979382,1.1029154428979382,0.0001410827952148694
AIUABA,AIUABA,Abril,0.1862999,1853353143.2,863198.7631071142,172639.75262142287,690559.0104856915,863197.51,172638.13,690559.38,-1.2531071142293513,1.2531071142293513,0.00014517038102083394
AIUABA,AIUABA,Maio,0.1862999,1854938665.46,863937.2197033287,172787.44394066575,691149.775762663,863936.45,172785.56,691150.89,-0.7697033287258819,0.7697033287258819,8.909258646580798e-05
AIUABA,AIUABA,Junho,0.1862999,1934205596.72,900855.7731209408,180171.15462418817,720684.6184967527,926696.19,185337.33,741358.86,25840.416879059165,25840.416879059165,2.7884453565152962
ALCANTARAS,ALCANTARAS,Janeiro,0.2085191,1923303904.52,1002613.9979924909,200522.79959849818,802091.1983939927,1002613.44,200521.45,802091.99,-0.557992490939796,0.557992490939796,5.5653801223709514e-05
ALCANTARAS,ALCANTARAS,Fevereiro,0.2085191,1670684530.04,870924.0864696595,174184.8172939319,696739.2691757276,870922.88,174183.69,696739.19,-1.2064696594607085,1.2064696594607085,0.00013852772583729898
ALCANTARAS,ALCANTARAS,Março,0.2085191,1678479898.09,874987.7942945464,174997.5588589093,699990.2354356372,874986.96,174996.04,699990.92,-0.8342945463955402,0.8342945463955402,9.534936913751724e-05
ALCANTARAS,ALCANTARAS,Abril,0.2085191,1853353143.2,966148.8235055879,193229.7647011176,772919.0588044703,966147.17,193227.88,772919.29,-1.6535055878339335,1.6535055878339335,0.00017114427689457845
ALCANTARAS,ALCANTARAS,Maio,0.2085191,1854938665.46,966975.3526923008,193395.07053846016,773580.2821538406,966973.96,193393.52,773580.44,-1.392692300840281,1.392692300840281,0.00014402583300591478
ALCANTARAS,ALCANTARAS,Junho,0.2085191,1934205596.72,1008297.0256075434,201659.4051215087,806637.6204860348,1001470.03,200292.54,801177.49,-6826.995607543387,6826.995607543387,0.6816974450591784
ALTANEIRA,ALTANEIRA,Janeiro,0.2359692,1923303904.52,1134601.209266152,226920.2418532304,907680.9674129216,1134599.59,226917.99,907681.6,-1.6192661519162357,1.6192661519162357,0.00014271696959772704
